original_text,cleaned_text,case_folding,tokenized_text,normalized_text,stopword_removed
"Materi yang disampaikan sangat memberi wawasan yang cukup bagi peserta		",Materi yang disampaikan sangat memberi wawasan yang cukup bagi peserta,materi yang disampaikan sangat memberi wawasan yang cukup bagi peserta,"['materi', 'yang', 'disampaikan', 'sangat', 'memberi', 'wawasan', 'yang', 'cukup', 'bagi', 'peserta']","['materi', 'yang', 'disampaikan', 'sangat', 'memberi', 'pengalaman', 'yang', 'cukup', 'bagi', 'peserta']","['materi', 'disampaikan', 'memberi', 'pengalaman', 'cukup', 'peserta']"
"kedepannya waktu kegiatan di letakkan di pagi hari		",kedepannya waktu kegiatan di letakkan di pagi hari,kedepannya waktu kegiatan di letakkan di pagi hari,"['kedepannya', 'waktu', 'kegiatan', 'di', 'letakkan', 'di', 'pagi', 'hari']","['ke depannya', 'waktu', 'acara', 'di', 'letakkan', 'di', 'waktu', 'hari']","['ke depannya', 'waktu', 'acara', 'letakkan', 'waktu', 'hari']"
"Seru bgt acaranya terimakasih kak abang		",Seru bgt acaranya terimakasih kak abang,seru bgt acaranya terimakasih kak abang,"['seru', 'bgt', 'acaranya', 'terimakasih', 'kak', 'abang']","['menarik', 'banget', 'acara', 'terima kasih', 'kakak', 'kakak']","['menarik', 'banget', 'acara', 'terima kasih', 'kakak', 'kakak']"
"tidak ada kritik dan saran karena sangat bermanfaat bagi generasi Z		",tidak ada kritik dan saran karena sangat bermanfaat bagi generasi Z,tidak ada kritik dan saran karena sangat bermanfaat bagi generasi z,"['tidak', 'ada', 'kritik', 'dan', 'saran', 'karena', 'sangat', 'bermanfaat', 'bagi', 'generasi', 'z']","['tidak', 'ada', 'kritik', 'dan', 'usulan', 'karena', 'sangat', 'bermanfaat', 'bagi', 'generasi', 'z']","['kritik', 'usulan', 'bermanfaat', 'generasi', 'z']"
"Saran : Semoga kegiatan ini diadakan tiap tahun untuk maba		",Saran Semoga kegiatan ini diadakan tiap tahun untuk maba,saran semoga kegiatan ini diadakan tiap tahun untuk maba,"['saran', 'semoga', 'kegiatan', 'ini', 'diadakan', 'tiap', 'tahun', 'untuk', 'maba']","['usulan', 'semoga', 'acara', 'ini', 'mengadakan', 'setiap', 'waktu', 'untuk', 'mahasiswa']","['usulan', 'semoga', 'acara', 'mengadakan', 'waktu', 'mahasiswa']"
"Semoga kedepannya bisa mengikuti lebih sempurna dari sebelumnya		",Semoga kedepannya bisa mengikuti lebih sempurna dari sebelumnya,semoga kedepannya bisa mengikuti lebih sempurna dari sebelumnya,"['semoga', 'kedepannya', 'bisa', 'mengikuti', 'lebih', 'sempurna', 'dari', 'sebelumnya']","['semoga', 'ke depannya', 'bisa', 'ikut', 'lebih', 'sempurna', 'dari', 'sebelum']","['semoga', 'ke depannya', 'ikut', 'sempurna']"
"narasumber dan MC sudah menjalankan tugasnya dengan baik.		",narasumber dan MC sudah menjalankan tugasnya dengan baik,narasumber dan mc sudah menjalankan tugasnya dengan baik,"['narasumber', 'dan', 'mc', 'sudah', 'menjalankan', 'tugasnya', 'dengan', 'baik']","['narasumber', 'dan', 'mc', 'sudah', 'menjalankan', 'tugas', 'dengan', 'baik']","['narasumber', 'mc', 'menjalankan', 'tugas', 'baik']"
"semoga ke depannya acaranya lebih disiplin		",semoga ke depannya acaranya lebih disiplin,semoga ke depannya acaranya lebih disiplin,"['semoga', 'ke', 'depannya', 'acaranya', 'lebih', 'disiplin']","['semoga', 'ke', 'depan', 'acara', 'lebih', 'disiplin']","['semoga', 'depan', 'acara', 'disiplin']"
"acara terlaksana dengan baik		",acara terlaksana dengan baik,acara terlaksana dengan baik,"['acara', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']"
"Webinar sudah baik.		",Webinar sudah baik,webinar sudah baik,"['webinar', 'sudah', 'baik']","['seminar', 'sudah', 'baik']","['seminar', 'baik']"
"Acara sudah berjalan dengan baik.		",Acara sudah berjalan dengan baik,acara sudah berjalan dengan baik,"['acara', 'sudah', 'berjalan', 'dengan', 'baik']","['acara', 'sudah', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']"
"kedepannya semoga kegiatan webinar fkbmik ini bisa dibuat sedikit lebih santai, mengingat kegiatan diadakan siang hari jadi kurang bersemangat dan mengantuk		",kedepannya semoga kegiatan webinar fkbmik ini bisa dibuat sedikit lebih santai mengingat kegiatan diadakan siang hari jadi kurang bersemangat dan mengantuk,kedepannya semoga kegiatan webinar fkbmik ini bisa dibuat sedikit lebih santai mengingat kegiatan diadakan siang hari jadi kurang bersemangat dan mengantuk,"['kedepannya', 'semoga', 'kegiatan', 'webinar', 'fkbmik', 'ini', 'bisa', 'dibuat', 'sedikit', 'lebih', 'santai', 'mengingat', 'kegiatan', 'diadakan', 'siang', 'hari', 'jadi', 'kurang', 'bersemangat', 'dan', 'mengantuk']","['ke depannya', 'semoga', 'acara', 'seminar', 'fkbmik', 'ini', 'bisa', 'dibuat', 'sedikit', 'lebih', 'santai', 'mengingat', 'acara', 'mengadakan', 'waktu', 'hari', 'jadi', 'kurang', 'semangat', 'dan', 'mengantuk']","['ke depannya', 'semoga', 'acara', 'seminar', 'fkbmik', 'dibuat', 'sedikit', 'santai', 'mengingat', 'acara', 'mengadakan', 'waktu', 'hari', 'semangat', 'mengantuk']"
"Kegiatan sudah berjalan dengan lancar dan baik		",Kegiatan sudah berjalan dengan lancar dan baik,kegiatan sudah berjalan dengan lancar dan baik,"['kegiatan', 'sudah', 'berjalan', 'dengan', 'lancar', 'dan', 'baik']","['acara', 'sudah', 'terlaksana', 'dengan', 'sukses', 'dan', 'baik']","['acara', 'terlaksana', 'sukses', 'baik']"
"Mungkin bisa mengadakan acara pada pagi hari saja, sehingga peserta masih bersemangat		",Mungkin bisa mengadakan acara pada pagi hari saja sehingga peserta masih bersemangat,mungkin bisa mengadakan acara pada pagi hari saja sehingga peserta masih bersemangat,"['mungkin', 'bisa', 'mengadakan', 'acara', 'pada', 'pagi', 'hari', 'saja', 'sehingga', 'peserta', 'masih', 'bersemangat']","['mungkin', 'bisa', 'mengadakan', 'acara', 'pada', 'waktu', 'hari', 'saja', 'sehingga', 'peserta', 'masih', 'semangat']","['mungkin', 'mengadakan', 'acara', 'waktu', 'hari', 'peserta', 'semangat']"
"Informasi yang didapatkan sangat mudah diserap		",Informasi yang didapatkan sangat mudah diserap,informasi yang didapatkan sangat mudah diserap,"['informasi', 'yang', 'didapatkan', 'sangat', 'mudah', 'diserap']","['penyampaian', 'yang', 'dapat', 'sangat', 'mudah', 'serap']","['penyampaian', 'mudah', 'serap']"
"Acaranya mungkin bisa lebih cepat lagi dimulainya karena yang beda jam jadi sulit untuk menyesuaikan jadwalnya.		",Acaranya mungkin bisa lebih cepat lagi dimulainya karena yang beda jam jadi sulit untuk menyesuaikan jadwalnya,acaranya mungkin bisa lebih cepat lagi dimulainya karena yang beda jam jadi sulit untuk menyesuaikan jadwalnya,"['acaranya', 'mungkin', 'bisa', 'lebih', 'cepat', 'lagi', 'dimulainya', 'karena', 'yang', 'beda', 'jam', 'jadi', 'sulit', 'untuk', 'menyesuaikan', 'jadwalnya']","['acara', 'mungkin', 'bisa', 'lebih', 'cepat', 'lagi', 'mulai', 'karena', 'yang', 'inovatif', 'waktu', 'jadi', 'sulit', 'untuk', 'menyesuaikan', 'jadwal']","['acara', 'mungkin', 'cepat', 'mulai', 'inovatif', 'waktu', 'sulit', 'menyesuaikan', 'jadwal']"
"MC nya saja masih terlihat sedikit gugup.		",MC nya saja masih terlihat sedikit gugup,mc nya saja masih terlihat sedikit gugup,"['mc', 'nya', 'saja', 'masih', 'terlihat', 'sedikit', 'gugup']","['mc', 'nya', 'saja', 'masih', 'terlihat', 'sedikit', 'gugup']","['mc', 'terlihat', 'sedikit', 'gugup']"
"terkadang audio putus putus		",terkadang audio putus putus,terkadang audio putus putus,"['terkadang', 'audio', 'putus', 'putus']","['terkadang', 'audio', 'gangguan', 'gangguan']","['terkadang', 'audio', 'gangguan', 'gangguan']"
"Kegiatan sudah cukup baik		",Kegiatan sudah cukup baik,kegiatan sudah cukup baik,"['kegiatan', 'sudah', 'cukup', 'baik']","['acara', 'sudah', 'cukup', 'baik']","['acara', 'cukup', 'baik']"
"Kritik : mungkin dari segi audio, agak di stabilkan		",Kritik mungkin dari segi audio agak di stabilkan,kritik mungkin dari segi audio agak di stabilkan,"['kritik', 'mungkin', 'dari', 'segi', 'audio', 'agak', 'di', 'stabilkan']","['kritik', 'mungkin', 'dari', 'segi', 'audio', 'agak', 'di', 'stabil']","['kritik', 'mungkin', 'segi', 'audio', 'stabil']"
"Saran : Semoga kedepanya acaranya makin baik		",Saran Semoga kedepanya acaranya makin baik,saran semoga kedepanya acaranya makin baik,"['saran', 'semoga', 'kedepanya', 'acaranya', 'makin', 'baik']","['usulan', 'semoga', 'ke depannya', 'acara', 'semakin', 'baik']","['usulan', 'semoga', 'ke depannya', 'acara', 'semakin', 'baik']"
"micnya kurang jelas		",micnya kurang jelas,micnya kurang jelas,"['micnya', 'kurang', 'jelas']","['mikrofon', 'kurang', 'jelas']","['mikrofon', 'jelas']"
"tidak ada, sudah sangat berjalan dengan baik dan menarik		",tidak ada sudah sangat berjalan dengan baik dan menarik,tidak ada sudah sangat berjalan dengan baik dan menarik,"['tidak', 'ada', 'sudah', 'sangat', 'berjalan', 'dengan', 'baik', 'dan', 'menarik']","['tidak', 'ada', 'sudah', 'sangat', 'terlaksana', 'dengan', 'baik', 'dan', 'seru']","['terlaksana', 'baik', 'seru']"
"Sangat bermanfaat bagi mahasiswa baru seperti saya		",Sangat bermanfaat bagi mahasiswa baru seperti saya,sangat bermanfaat bagi mahasiswa baru seperti saya,"['sangat', 'bermanfaat', 'bagi', 'mahasiswa', 'baru', 'seperti', 'saya']","['sangat', 'bermanfaat', 'bagi', 'mahasiswa', 'inovatif', 'seperti', 'saya']","['bermanfaat', 'mahasiswa', 'inovatif']"
"Menambahkan pemateri lagi ya		",Menambahkan pemateri lagi ya,menambahkan pemateri lagi ya,"['menambahkan', 'pemateri', 'lagi', 'ya']","['tambah', 'narasumber', 'lagi', 'ya']","['tambah', 'narasumber']"
"Acara berjalan lancar dan tepat waktu		",Acara berjalan lancar dan tepat waktu,acara berjalan lancar dan tepat waktu,"['acara', 'berjalan', 'lancar', 'dan', 'tepat', 'waktu']","['acara', 'terlaksana', 'sukses', 'dan', 'tepat', 'waktu']","['acara', 'terlaksana', 'sukses', 'tepat', 'waktu']"
"Acara berjalan dgn sangat baik		",Acara berjalan dgn sangat baik,acara berjalan dgn sangat baik,"['acara', 'berjalan', 'dgn', 'sangat', 'baik']","['acara', 'terlaksana', 'dengan', 'sangat', 'baik']","['acara', 'terlaksana', 'baik']"
"kegiatan sangat bermanfaat		",kegiatan sangat bermanfaat,kegiatan sangat bermanfaat,"['kegiatan', 'sangat', 'bermanfaat']","['acara', 'sangat', 'bermanfaat']","['acara', 'bermanfaat']"
"Terus mengadakan event gabungan seperti ini.		",Terus mengadakan event gabungan seperti ini,terus mengadakan event gabungan seperti ini,"['terus', 'mengadakan', 'event', 'gabungan', 'seperti', 'ini']","['terus', 'mengadakan', 'acara', 'kolaborasi', 'seperti', 'ini']","['terus', 'mengadakan', 'acara', 'kolaborasi']"
"Materi yang diberikan juga bagus dan informatif terutama bagi para kaum generasi Z.		",Materi yang diberikan juga bagus dan informatif terutama bagi para kaum generasi Z,materi yang diberikan juga bagus dan informatif terutama bagi para kaum generasi z,"['materi', 'yang', 'diberikan', 'juga', 'bagus', 'dan', 'informatif', 'terutama', 'bagi', 'para', 'kaum', 'generasi', 'z']","['materi', 'yang', 'diberikan', 'juga', 'keren', 'dan', 'informatif', 'terutama', 'bagi', 'para', 'kaum', 'generasi', 'z']","['materi', 'diberikan', 'keren', 'informatif', 'terutama', 'kaum', 'generasi', 'z']"
"Webinar ini sangat menarik.		",Webinar ini sangat menarik,webinar ini sangat menarik,"['webinar', 'ini', 'sangat', 'menarik']","['seminar', 'ini', 'sangat', 'seru']","['seminar', 'seru']"
"kegiatan webinar sudah berjalan dengan baik		",kegiatan webinar sudah berjalan dengan baik,kegiatan webinar sudah berjalan dengan baik,"['kegiatan', 'webinar', 'sudah', 'berjalan', 'dengan', 'baik']","['acara', 'seminar', 'sudah', 'terlaksana', 'dengan', 'baik']","['acara', 'seminar', 'terlaksana', 'baik']"
"acara berjalan dengan baik dan lancar		",acara berjalan dengan baik dan lancar,acara berjalan dengan baik dan lancar,"['acara', 'berjalan', 'dengan', 'baik', 'dan', 'lancar']","['acara', 'terlaksana', 'dengan', 'baik', 'dan', 'sukses']","['acara', 'terlaksana', 'baik', 'sukses']"
"ilmu yang disampaikan sangat bermanfaat		",ilmu yang disampaikan sangat bermanfaat,ilmu yang disampaikan sangat bermanfaat,"['ilmu', 'yang', 'disampaikan', 'sangat', 'bermanfaat']","['pengalaman', 'yang', 'disampaikan', 'sangat', 'bermanfaat']","['pengalaman', 'disampaikan', 'bermanfaat']"
"KEREN BANGET ACARANYA		",KEREN BANGET ACARANYA,keren banget acaranya,"['keren', 'banget', 'acaranya']","['keren', 'sekali', 'acara']","['keren', 'sekali', 'acara']"
"Berjalan dengan baik acaranya		",Berjalan dengan baik acaranya,berjalan dengan baik acaranya,"['berjalan', 'dengan', 'baik', 'acaranya']","['terlaksana', 'dengan', 'baik', 'acara']","['terlaksana', 'baik', 'acara']"
"acara sudah sangat bagus dan menarik		",acara sudah sangat bagus dan menarik,acara sudah sangat bagus dan menarik,"['acara', 'sudah', 'sangat', 'bagus', 'dan', 'menarik']","['acara', 'sudah', 'sangat', 'keren', 'dan', 'seru']","['acara', 'keren', 'seru']"
"Semoga dengan adanya fkbmik dapat menambah pengetahuan dan relasi		",Semoga dengan adanya fkbmik dapat menambah pengetahuan dan relasi,semoga dengan adanya fkbmik dapat menambah pengetahuan dan relasi,"['semoga', 'dengan', 'adanya', 'fkbmik', 'dapat', 'menambah', 'pengetahuan', 'dan', 'relasi']","['semoga', 'dengan', 'ada', 'fkbmik', 'dapat', 'tambah', 'pengetahuan', 'dan', 'relasi']","['semoga', 'fkbmik', 'tambah', 'pengetahuan', 'relasi']"
"Acaranya sangat menarik, semoga ke depannya dapat terlaksana dengan lebih baik lagi		",Acaranya sangat menarik semoga ke depannya dapat terlaksana dengan lebih baik lagi,acaranya sangat menarik semoga ke depannya dapat terlaksana dengan lebih baik lagi,"['acaranya', 'sangat', 'menarik', 'semoga', 'ke', 'depannya', 'dapat', 'terlaksana', 'dengan', 'lebih', 'baik', 'lagi']","['acara', 'sangat', 'seru', 'semoga', 'ke', 'depan', 'dapat', 'terlaksana', 'dengan', 'lebih', 'baik', 'lagi']","['acara', 'seru', 'semoga', 'depan', 'terlaksana', 'baik']"
"Acara berjalan dengan baik		",Acara berjalan dengan baik,acara berjalan dengan baik,"['acara', 'berjalan', 'dengan', 'baik']","['acara', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']"
"Ditingkatkan lebih baik lagi		",Ditingkatkan lebih baik lagi,ditingkatkan lebih baik lagi,"['ditingkatkan', 'lebih', 'baik', 'lagi']","['ditingkatkan', 'lebih', 'baik', 'lagi']","['ditingkatkan', 'baik']"
"Hari ini kegiatan berjalan dengan lancar dan tidak ada masalah dalam zoom.		",Hari ini kegiatan berjalan dengan lancar dan tidak ada masalah dalam zoom,hari ini kegiatan berjalan dengan lancar dan tidak ada masalah dalam zoom,"['hari', 'ini', 'kegiatan', 'berjalan', 'dengan', 'lancar', 'dan', 'tidak', 'ada', 'masalah', 'dalam', 'zoom']","['hari', 'ini', 'acara', 'terlaksana', 'dengan', 'sukses', 'dan', 'tidak', 'ada', 'kendala', 'dalam', 'zoom']","['hari', 'acara', 'terlaksana', 'sukses', 'kendala', 'zoom']"
"sudah bagus acara terlaksana dengan lancar		",sudah bagus acara terlaksana dengan lancar,sudah bagus acara terlaksana dengan lancar,"['sudah', 'bagus', 'acara', 'terlaksana', 'dengan', 'lancar']","['sudah', 'keren', 'acara', 'terlaksana', 'dengan', 'sukses']","['keren', 'acara', 'terlaksana', 'sukses']"
"acaranya sudah bagus dan lebih dikembangkan lagi #respect		",acaranya sudah bagus dan lebih dikembangkan lagi,acaranya sudah bagus dan lebih dikembangkan lagi,"['acaranya', 'sudah', 'bagus', 'dan', 'lebih', 'dikembangkan', 'lagi']","['acara', 'sudah', 'keren', 'dan', 'lebih', 'ditingkatkan', 'lagi']","['acara', 'keren', 'ditingkatkan']"
"Kegiatan FKBMIK berjalan dengan baik, narasumber membawa materi yang seru dan sangat relatable dengan masa-masa sekarang.		",Kegiatan FKBMIK berjalan dengan baik narasumber membawa materi yang seru dan sangat relatable dengan masamasa sekarang,kegiatan fkbmik berjalan dengan baik narasumber membawa materi yang seru dan sangat relatable dengan masamasa sekarang,"['kegiatan', 'fkbmik', 'berjalan', 'dengan', 'baik', 'narasumber', 'membawa', 'materi', 'yang', 'seru', 'dan', 'sangat', 'relatable', 'dengan', 'masamasa', 'sekarang']","['acara', 'fkbmik', 'terlaksana', 'dengan', 'baik', 'narasumber', 'membawa', 'materi', 'yang', 'menarik', 'dan', 'sangat', 'relevan', 'dengan', 'kendala', 'sekarang']","['acara', 'fkbmik', 'terlaksana', 'baik', 'narasumber', 'membawa', 'materi', 'menarik', 'relevan', 'kendala', 'sekarang']"
"Kegiatan ini sudah baik karena bisa mendapatkan ilmu baru dan pengalaman baru.		",Kegiatan ini sudah baik karena bisa mendapatkan ilmu baru dan pengalaman baru,kegiatan ini sudah baik karena bisa mendapatkan ilmu baru dan pengalaman baru,"['kegiatan', 'ini', 'sudah', 'baik', 'karena', 'bisa', 'mendapatkan', 'ilmu', 'baru', 'dan', 'pengalaman', 'baru']","['acara', 'ini', 'sudah', 'baik', 'karena', 'bisa', 'dapat', 'pengalaman', 'inovatif', 'dan', 'pengalaman', 'inovatif']","['acara', 'baik', 'pengalaman', 'inovatif', 'pengalaman', 'inovatif']"
"Semoga kegiatan seperti ini tetap terlaksana		",Semoga kegiatan seperti ini tetap terlaksana,semoga kegiatan seperti ini tetap terlaksana,"['semoga', 'kegiatan', 'seperti', 'ini', 'tetap', 'terlaksana']","['semoga', 'acara', 'seperti', 'ini', 'tetap', 'terlaksana']","['semoga', 'acara', 'tetap', 'terlaksana']"
"Semoga Webinar FKBMIK ini semakin baik kedepannya dan semakin seru		",Semoga Webinar FKBMIK ini semakin baik kedepannya dan semakin seru,semoga webinar fkbmik ini semakin baik kedepannya dan semakin seru,"['semoga', 'webinar', 'fkbmik', 'ini', 'semakin', 'baik', 'kedepannya', 'dan', 'semakin', 'seru']","['semoga', 'seminar', 'fkbmik', 'ini', 'semakin', 'baik', 'ke depannya', 'dan', 'semakin', 'menarik']","['semoga', 'seminar', 'fkbmik', 'semakin', 'baik', 'ke depannya', 'semakin', 'menarik']"
"Acaranya sudah sangat bagus dan bermanfaat.		",Acaranya sudah sangat bagus dan bermanfaat,acaranya sudah sangat bagus dan bermanfaat,"['acaranya', 'sudah', 'sangat', 'bagus', 'dan', 'bermanfaat']","['acara', 'sudah', 'sangat', 'keren', 'dan', 'bermanfaat']","['acara', 'keren', 'bermanfaat']"
"Acara sangat bermanfaat		",Acara sangat bermanfaat,acara sangat bermanfaat,"['acara', 'sangat', 'bermanfaat']","['acara', 'sangat', 'bermanfaat']","['acara', 'bermanfaat']"
